Study,Year,PMID,experimental_events,experimental_total,control_events,control_total, Cofactor,
Fukusaki,1998,9647457,12,19,2,16, '7 days',
Fukusaki,1998,9647457,3,19,1,16, '4 weeks',
Fukusaki,1998,9647457,1,19,1,16, '3 months',
Milburn, 2014, 24688335, ,30, , 27, '4 weeks',
