Study,Year,PMID,experimental_events,experimental_total,control_events,control_total, Cofactor,
Fukusaki, 1998, 9647457, 10, 18, 2, 16, '7 days',
Fukusaki, 1998, 9647457, 3, 18, 1, 16, '4 weeks',
Fukusaki, 1998, 9647457, 1, 18, 1, 16, '3 months',
